open,high,low,volume,close,time
16796.94,16835.92,16774.84,550692.58663,16809.16,1671213600000
16810.64,16837.97,16757.3,1072376.72446,16794.64,1671210000000
16972.33,16979.02,16732.36,1711800.88682,16811.67,1671206400000
17030.34,17032.16,16910.13,844666.83209,16972.34,1671202800000
16946.22,17085.0,16890.46,1374504.34034,17029.59,1671199200000
17035.14,17035.14,16935.57,687307.66264,16946.22,1671195600000
17027.09,17037.76,16979.36,676320.88877,17035.14,1671192000000
16994.84,17044.45,16970.0,656929.562,17027.09,1671188400000
17038.97,17039.8,16918.97,1172102.53181,16994.06,1671184800000
17221.25,17223.34,16950.81,3347909.37346,17038.97,1671181200000
17503.36,17519.64,17180.01,638313.29119,17221.25,1671177600000
17422.45,17531.73,17421.02,792869.21726,17503.35,1671174000000
17408.5,17426.0,17381.54,294807.42681,17423.07,1671170400000
17390.0,17413.08,17372.7,338284.07864,17408.96,1671166800000
17425.76,17427.6,17389.0,250839.23695,17390.0,1671163200000
17403.2,17428.22,17400.0,307869.03741,17425.76,1671159600000
17386.82,17427.37,17385.78,331379.42366,17402.69,1671156000000
17426.66,17428.55,17375.25,524545.78952,17386.82,1671152400000
17356.96,17428.0,17345.15,779107.05827,17427.46,1671148800000
17339.91,17378.96,17289.07,744276.42844,17356.34,1671145200000
17396.76,17409.0,17275.51,817453.82678,17339.91,1671141600000
17417.57,17430.34,17340.26,608199.4491,17396.01,1671138000000
17442.8,17457.44,17410.43,542156.90663,17417.57,1671134400000
17401.02,17474.38,17390.0,837056.6732,17442.25,1671130800000
